,Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI,Day,Date,NGas,NWater
0,15/9-F-15 D,7289,2007,9,,,,,,,30,2007-09-30,0.0,0.0
1,15/9-F-14,5351,2007,9,,,,,,,30,2007-09-30,0.0,0.0
2,15/9-F-12,5599,2007,9,,,,,,,30,2007-09-30,0.0,0.0
3,15/9-F-5,5769,2007,9,,,,,,,30,2007-09-30,0.0,0.0
4,15/9-F-11,7078,2007,9,,,,,,,30,2007-09-30,0.0,0.0
5,15/9-F-1 C,7405,2007,9,,,,,,,30,2007-09-30,0.0,0.0
6,15/9-F-4,5693,2007,9,,,,,,,30,2007-09-30,0.0,0.0
7,15/9-F-14,5351,2007,10,,,,,,,31,2007-10-31,0.0,0.0
8,15/9-F-5,5769,2007,10,,,,,,,31,2007-10-31,0.0,0.0
9,15/9-F-12,5599,2007,10,,,,,,,31,2007-10-31,0.0,0.0
10,15/9-F-11,7078,2007,10,,,,,,,31,2007-10-31,0.0,0.0
11,15/9-F-15 D,7289,2007,10,,,,,,,31,2007-10-31,0.0,0.0
12,15/9-F-1 C,7405,2007,10,,,,,,,31,2007-10-31,0.0,0.0
13,15/9-F-4,5693,2007,10,,,,,,,31,2007-10-31,0.0,0.0
14,15/9-F-15 D,7289,2007,11,,,,,,,30,2007-11-30,0.0,0.0
15,15/9-F-5,5769,2007,11,,,,,,,30,2007-11-30,0.0,0.0
16,15/9-F-4,5693,2007,11,,,,,,,30,2007-11-30,0.0,0.0
17,15/9-F-14,5351,2007,11,,,,,,,30,2007-11-30,0.0,0.0
18,15/9-F-1 C,7405,2007,11,,,,,,,30,2007-11-30,0.0,0.0
19,15/9-F-11,7078,2007,11,,,,,,,30,2007-11-30,0.0,0.0
20,15/9-F-12,5599,2007,11,,,,,,,30,2007-11-30,0.0,0.0
21,15/9-F-4,5693,2007,12,,,,,,,31,2007-12-31,0.0,0.0
22,15/9-F-5,5769,2007,12,,,,,,,31,2007-12-31,0.0,0.0
23,15/9-F-4,5693,2008,1,0.0,,,,,,31,2008-01-31,0.0,0.0
